indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Fresh Okra (Bhindi),Fresh Horticultural Produce,E008,90,0.2,6.1,0.99,64.7,8,9.4,94.5,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled,High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,Monolayer: 25µm Blown PBAT/Cornstarch Matrix with 80µm micro-holes,28,7111.2,41.87,Heat Seal with Airflow Channels,Tear Resistant against Stem Puncture,Yes,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",Cl. 3(2) Fresh Produce Clean Contact Rules,"IS/ISO 17088, IS 9845",Non-toxic compostable matrix; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mater-Bi® VF04A (Novamont) / Bio-Flex®,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),Chhana Sweet,51.86,4.5,6.11,0.92,0,159,25,61.2,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,Triplex: 15µm AlOx-PLA / 25µm Bio-PBS / 50µm Sealant,97,1.5,0.91,Hermetic Ultrasonic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Syrup Exclusion,Schedule I (Canned Foods),"IS/ISO 17088, IS 9845",Simulant A; OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ + AlOx Barrier Film,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.64,21.53,6.35,0.68,0,23,23.2,47.4,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,32,79.2,4.57,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.48,1.73,6.26,0.58,0,136,31.2,69.7,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,106,211.9,5.37,Heat Sealable Bottom / Pinch Top Bio-Adhesive,High Drop Impact (>1.5m drop test for 5kg/10kg bags),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Dahi (Indian Curd),Dairy Products,Fermented Milk,85.8,4.3,4.15,0.99,0,20,3.1,86.4,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,380,4.4,2.07,Thermal Conductive Peel Seal (105-120°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Nashik Red Onions,Fresh Horticultural Produce,E015,87.33,0.1,5.59,0.95,7.8,60,23.6,68.8,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient Ventilated,Extruded Tubular Compostable Bio-Mesh (PLA/PBAT),Open Mesh Netting: 250 Denier Compostable Bio-Filament,178,33692.3,276.43,Ultrasonic Heat Staple / Stitched Bio-Ribbon,Heavy Load High Tensile Strength (>25 kgf),No,Free Aeration (prevents neck rot),Cl. 3(1) Clean Agricultural Packaging,"IS/ISO 17088, IS 9845",Simulant A; Non-toxic compostable netting,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® Netting / Ecovio® Extruded Mesh,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Freshwater Fish (Rohu Steaks),Fish & Seafood,J001,76.9,2.88,6.51,0.99,0,6,0.4,94.7,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled (On Crushed Ice),Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,Base: 500gsm Hydrophobic Wax-coated Bagasse / Top: 30µm PVOH-coated NatureFlex Film,88,2.4,2.28,Hermetic Tray Lidding Seal (Leak-Proof for Fish Exudate),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",Schedule I (Fish & Fishery Products) & Cl. 3(2),"IS/ISO 17088, IS 9845 (OML <60 mg/kg)",Simulant A & C; Zero styrene / formaldehyde leaching,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka Chuk! Water-resistant Trays + NatureFlex™ NKME,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.61,5.45,6.31,0.54,0,161,28.6,67.4,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,104,167.1,5.99,Heat Sealed Bottom / Ultrasonic Pinch Top,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.06,21.39,6.31,0.68,0,40,24.1,62,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,24,65.4,4.69,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Crush Resistant Rigid Box (IS 2771),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.83,4.98,6.29,0.54,0,91,30.9,48.4,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,83,219.9,4.35,Heat Sealed Bottom / Ultrasonic Pinch Top,High Burst Resistance,No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
