commodity_name,commodity_category,initial_moisture_pct,initial_fat_pct,initial_ph,water_activity_aw,preservative_type,packaging_material_tested,actual_film_thickness_microns,actual_film_otr_cc_m2_day_atm,actual_film_wvtr_g_m2_day,storage_condition,storage_temperature_c,storage_rh_pct,headspace_gas_regime,measured_shelf_life_days,primary_failure_mode,kinetic_reaction_order,critical_endpoint_value,fssai_safety_compliance,empirical_research_citation
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.15,1.6,6.31,0.58,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,46,11019.6,59.79,"Storage at 37.1°C, 51.6% RH",37.1,51.6,Air Headspace (No MAP),36,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 36,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,9.29,13.23,5.83,0.46,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,31,34.1,5.93,"Storage at 25.6°C, 58.2% RH",25.6,58.2,Air Headspace (No MAP),73,Capsanthin Carotenoid Decoloration & Pungency Loss,First-order photo-oxidation,Reached critical spoilage limit on Day 73,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Besan (Gram Flour),Grains & Flours,11.08,5.64,6.32,0.54,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,77,16858.9,224.26,"Storage at 24.9°C, 61.8% RH",24.9,61.8,Air Headspace (No MAP),13,Lipase-induced Acidity & Clumping,Enzymatic free fatty acid release,Reached critical spoilage limit on Day 13,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.14,1.75,6.28,0.58,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,68,543.8,8.2,"Storage at 30.5°C, 60.9% RH",30.5,60.9,Ambient Air (controlled moisture ingress),119,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 119,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),53.15,4.65,6.07,0.92,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,101,1.7,1.45,"Storage at 23.0°C, 51.4% RH",23,51.4,Syrup Exclusion,180,Syrup Turbidity & Yeast Spoilage,Osmophilic microbial growth kinetics,Reached critical spoilage limit on Day 180,Compliant across specified shelf life,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,71.72,5.87,5.79,0.99,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,35,47,15.68,"Storage at 3.2°C, 85.2% RH",3.2,85.2,Air Headspace (No MAP),2,Aerobic Plate Count Exceeding 10^6 cfu/g & Metmyoglobin Brown Discoloration,First-order microbial proliferation,Reached critical spoilage limit on Day 2,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Fresh Malai Paneer,Dairy Products,54.11,24.28,5.95,0.98,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,48,121.4,21.63,"Storage at 7.5°C, 85.3% RH",7.5,85.3,Air Headspace (No MAP),4,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 4,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Nashik Red Onions,Fresh Horticultural Produce,86.95,0.11,5.61,0.95,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Extruded Tubular Compostable Bio-Mesh (PLA/PBAT),211,37542.9,210.63,"Storage at 24.9°C, 70.3% RH",24.9,70.3,Free Aeration (prevents neck rot),66,"Sprouting, Root Growth & Aspergillus niger (Black Mold)",Dormancy break temperature-humidity trigger,Reached critical spoilage limit on Day 66,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Green Chillies (Hari Mirch),Fresh Horticultural Produce,85.67,0.63,5.42,0.98,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,41,241593.9,298.59,"Storage at 11.3°C, 93.8% RH",11.3,93.8,Air Headspace (No MAP),4,"Calyx Rot, Pungency Loss & Red Color Senescence",Chlorophyllase enzymatic breakdown,Reached critical spoilage limit on Day 4,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Kaju Katli,Traditional Sweets (Mithai),10.92,21.07,6.3,0.68,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,16,133.4,6.07,"Storage at 26.7°C, 62.7% RH",26.7,62.7,100% N2 Flushing (prevents fungal mold & silver vark blackening),21,Fungal Mold (Aspergillus flavus) & Moisture Hardening,BET moisture sorption isotherm kinetics,Reached critical spoilage limit on Day 21,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
